value_euro,age,release_clause_euro,sprint_speed,dribbling,position
110500,31,226500,86,97,Forward
69500,27,133800,73,84,Midfield
73000,25,144200,79,87,Midfield
62000,27,105400,86,90,Forward
60000,27,106500,75,69,Defense
59500,27,114500,77,70,Defense
81000,20,166100,96,90,Forward
64500,30,119300,80,89,Forward
38000,32,62700,60,30,Goalkeeper
60000,32,111000,76,80,Forward
51500,30,105600,52,80,Midfield
53500,26,113700,52,13,Goalkeeper
58000,26,123300,50,17,Goalkeeper
78000,27,165800,85,87,Forward
78500,26,151100,91,89,Forward
89000,25,153500,83,92,Midfield
53500,24,101700,73,59,Defense
20500,33,37900,67,77,Midfield
46500,30,95300,62,82,Midfield
34000,31,62900,65,71,Defense
45000,31,76500,85,91,Forward
36500,30,74800,82,90,Defense
44000,30,84700,67,62,Defense
38000,29,77900,93,80,Defense
51500,27,85000,69,90,Midfield
52000,29,88400,85,83,Forward
30500,32,62500,53,16,Goalkeeper
62500,26,132800,69,94,Midfield
50500,27,107300,66,69,Midfield
64500,26,114500,78,77,Forward
31000,24,63600,33,10,Goalkeeper
38000,25,56100,74,84,Midfield
34000,25,65500,72,76,Midfield
42500,23,89300,89,88,Forward
40000,23,71000,93,83,Forward
36500,23,67500,84,42,Defense
40500,24,84000,76,83,Midfield
31000,26,64300,85,82,Defense
34000,24,72300,70,47,Defense
40500,25,80000,79,90,Midfield
34000,22,65500,79,63,Defense
41500,23,88200,82,85,Forward
46000,21,103500,93,91,Forward
18500,34,24100,66,88,Midfield
14000,37,21000,59,79,Forward
30000,27,57800,61,82,Midfield
26000,29,49400,89,82,Midfield
34000,23,58700,90,87,Midfield
27000,26,58700,67,78,Midfield
22500,29,46700,67,57,Defense
33000,25,73400,87,88,Midfield
27000,27,55400,82,82,Forward
28000,27,58800,91,84,Midfield
34000,24,58700,79,81,Midfield
33000,23,63500,74,79,Midfield
31000,24,58900,69,65,Defense
29500,24,54600,91,85,Defense
34000,25,77400,76,82,Midfield
34500,22,59500,93,88,Midfield
35500,23,79900,84,85,Midfield
25000,23,44400,77,55,Defense
26000,23,58500,73,60,Defense
21500,24,46800,52,18,Goalkeeper
29500,23,43500,93,84,Forward
31500,22,70900,82,85,Forward
25000,23,49400,74,78,Midfield
29000,22,63100,90,86,Midfield
32000,22,60800,67,83,Midfield
31000,21,49600,78,86,Midfield
14000,31,25200,42,9,Goalkeeper
6500,35,12400,74,60,Defense
16500,31,31400,81,77,Midfield
32500,22,73100,70,83,Midfield
29000,22,61600,66,77,Midfield
9000,34,15300,69,75,Midfield
21500,30,36600,67,82,Forward
18000,28,33300,66,73,Midfield
21000,31,45200,79,84,Midfield
22000,29,41800,83,84,Forward
20000,32,34000,80,86,Forward
22500,29,42800,55,80,Midfield
22500,28,38300,77,82,Midfield
18000,28,32000,44,19,Goalkeeper
16500,31,31400,62,68,Midfield
18500,28,34200,75,75,Defense
23000,28,43700,69,81,Midfield
23500,28,44700,80,81,Forward
21000,30,44100,82,87,Midfield
21000,31,44100,91,87,Midfield
22000,29,37400,77,83,Midfield
22000,26,47900,76,78,Midfield
18000,26,32000,85,79,Defense
17000,28,30200,52,71,Midfield
20000,24,38500,86,80,Defense
22500,24,39900,77,79,Midfield
18500,25,32800,77,43,Defense
22000,25,39100,77,78,Forward
18500,25,32800,69,62,Defense
22000,26,47900,79,78,Forward
19500,26,38500,70,78,Midfield
22500,25,39900,68,83,Midfield
18500,25,36500,87,83,Defense
23000,24,40800,86,84,Midfield
25000,22,47500,84,87,Midfield
22000,23,46200,91,85,Midfield
20500,21,32800,89,87,Forward
14500,22,21400,62,26,Goalkeeper
15500,27,30600,65,47,Defense
21000,21,48300,75,84,Forward
4500,35,8500,68,75,Midfield
10500,31,20000,80,77,Defense
21000,21,44100,86,84,Forward
18500,23,41600,82,69,Defense
21000,22,48300,77,80,Midfield
23500,20,49400,79,84,Midfield
22500,22,47300,76,86,Midfield
20500,22,44600,65,76,Forward
6000,37,12600,66,85,Midfield
5500,35,11000,74,65,Defense
15000,27,28900,69,65,Defense
15500,26,29800,78,76,Defense
14000,28,24900,72,63,Midfield
19500,25,37500,85,84,Midfield
13000,26,25700,52,13,Goalkeeper
17500,27,36300,83,81,Forward
11500,29,21900,80,53,Defense
15000,29,31500,77,82,Midfield
16000,27,33600,89,82,Midfield
11500,29,24200,80,83,Defense
15500,27,33700,68,66,Defense
8500,33,16200,47,16,Goalkeeper
16500,25,31800,68,65,Midfield
14000,25,27700,55,21,Goalkeeper
1000,39,1800,40,14,Goalkeeper
12000,33,18000,65,74,Forward
6000,34,12600,34,13,Goalkeeper
7000,36,9800,83,78,Forward
4500,34,9700,62,58,Midfield
9500,33,16200,61,87,Forward
2000,37,4200,52,11,Goalkeeper
5500,34,11300,83,75,Defense
4500,34,9400,65,73,Midfield
8500,32,18700,50,15,Goalkeeper
12000,33,19200,68,73,Forward
11500,33,24200,76,86,Midfield
4500,35,8500,41,57,Defense
8500,33,16200,60,62,Defense
9000,34,15300,52,82,Midfield
17500,24,40300,76,85,Forward
10000,28,15000,77,74,Defense
15500,26,24400,76,76,Forward
16500,24,34200,65,84,Midfield
10500,27,22800,34,20,Goalkeeper
15000,26,26600,76,80,Midfield
17500,24,38500,74,84,Midfield
13500,25,26700,78,74,Defense
15000,25,34500,78,82,Midfield
17000,24,35300,75,80,Midfield
13500,26,26700,82,78,Midfield
14000,24,27700,76,69,Midfield
14500,23,25700,85,75,Midfield
11500,28,17000,34,69,Midfield
13000,28,18200,83,71,Forward
8000,31,13600,46,13,Goalkeeper
13000,28,24700,77,79,Midfield
13000,29,28600,76,76,Forward
13000,29,27300,66,75,Forward
10000,29,21000,77,68,Defense
8000,31,16800,39,19,Goalkeeper
10000,30,21000,59,53,Defense
9500,31,18100,70,63,Midfield
12500,29,23800,72,84,Midfield
10500,27,22100,71,69,Defense
13000,28,27300,77,80,Midfield
13500,28,25700,77,79,Forward
12000,27,23700,59,59,Defense
12500,30,22500,68,75,Forward
20500,18,54800,94,82,Forward
12500,22,28800,82,72,Defense
4000,38,7600,38,78,Midfield
6500,34,8100,77,80,Forward
5000,34,7500,37,71,Midfield
10000,33,19000,79,69,Forward
10000,33,17000,66,71,Forward
7000,33,13300,74,77,Defense
11000,32,20900,82,82,Forward
8000,31,16000,53,13,Goalkeeper
10000,33,17000,65,87,Midfield
8000,33,17200,83,82,Forward
11000,32,20900,69,88,Midfield
3000,35,5700,48,14,Goalkeeper
7000,32,13300,55,17,Goalkeeper
6500,34,13700,63,78,Forward
7000,33,13000,46,56,Defense
14000,22,29400,80,84,Midfield
14500,23,29700,74,82,Midfield
9500,24,20700,48,19,Goalkeeper
10500,26,22800,90,78,Defense
8000,30,11200,50,36,Defense
9500,26,18800,48,15,Goalkeeper
11000,27,19500,68,49,Defense
14000,24,27700,66,66,Forward
10500,26,22800,86,76,Defense
7500,31,15000,75,77,Defense
14000,24,32200,66,77,Midfield
14000,25,24900,79,84,Forward
11000,24,21700,76,76,Defense
11000,27,21700,50,60,Defense
10000,28,19800,65,42,Defense
10500,29,17900,79,82,Midfield
10000,28,19800,64,62,Defense
10500,26,20200,74,76,Defense
10500,25,18600,84,73,Defense
10500,27,22800,76,70,Midfield
10000,28,19800,69,53,Defense
8500,26,15900,38,15,Goalkeeper
9500,29,20700,73,48,Defense
13000,25,23100,79,84,Midfield
14000,24,27700,78,77,Midfield
6000,33,10200,34,15,Goalkeeper
8000,29,16800,87,75,Defense
10500,29,20000,77,82,Midfield
6500,31,12400,60,23,Goalkeeper
8000,32,13600,67,80,Midfield
10000,30,17000,77,80,Midfield
12000,27,21300,84,69,Forward
10500,30,20000,77,78,Forward
6500,34,13700,84,74,Midfield
6500,31,12400,58,16,Goalkeeper
7500,31,12800,71,65,Midfield
9500,31,20000,53,76,Midfield
9500,31,14300,69,80,Midfield
5500,33,10500,73,74,Defense
10000,24,21800,48,40,Defense
3600,34,7600,43,14,Goalkeeper
8500,31,14500,79,79,Midfield
10500,21,20000,69,71,Defense
12000,23,17700,75,79,Midfield
9000,30,19400,93,77,Forward
8000,31,13600,76,75,Forward
12000,24,23700,57,73,Midfield
10000,29,15000,87,79,Midfield
6000,32,12600,61,62,Midfield
10500,28,20000,87,79,Forward
8500,27,16200,53,54,Defense
8500,29,16200,63,59,Defense
4000,34,7600,73,81,Defense
10000,31,19000,90,80,Midfield
11500,23,22700,74,79,Midfield
5500,34,9400,44,72,Forward
12000,24,23700,79,74,Midfield
8500,31,16200,77,76,Midfield
12000,25,26100,72,74,Forward
11500,25,22700,83,83,Midfield
9000,28,15300,72,70,Forward
5500,31,10500,54,25,Goalkeeper
9000,26,17800,60,68,Midfield
11500,21,19600,68,59,Defense
9500,28,19000,81,78,Forward
8500,23,18500,46,19,Goalkeeper
5500,33,7700,59,77,Forward
3600,34,7600,44,11,Goalkeeper
10500,25,24200,63,58,Defense
6000,32,10200,85,75,Defense
5000,33,10300,64,55,Defense
10500,26,18600,65,70,Forward
9000,26,17800,66,74,Midfield
10000,24,17800,69,45,Defense
10500,27,18600,85,78,Forward
5000,33,10500,48,12,Goalkeeper
6000,31,11400,66,63,Defense
6500,32,9100,52,76,Midfield
7000,30,13800,61,14,Goalkeeper
9000,29,19400,81,80,Forward
10000,23,19800,69,74,Midfield
11000,22,20900,73,66,Defense
3200,37,5400,77,82,Forward
11500,26,20400,88,76,Forward
4700,34,6600,62,70,Forward
8500,31,12800,63,64,Forward
8000,31,13600,69,78,Midfield
2700,35,4000,36,35,Defense
10500,21,20000,86,79,Defense
9000,27,15100,55,40,Defense
8500,30,17900,83,79,Midfield
7500,32,13500,65,75,Midfield
2100,36,4000,51,49,Defense
11500,24,20400,68,78,Midfield
8500,28,16800,69,64,Defense
7000,29,14700,51,40,Defense
8500,26,18500,48,17,Goalkeeper
7500,27,15600,35,19,Goalkeeper
7000,29,14700,77,70,Defense
12500,23,20000,80,77,Forward
11000,26,22800,69,73,Forward
9000,26,19600,78,73,Defense
9000,28,17100,73,75,Midfield
6000,31,12600,74,66,Defense
11500,26,18100,87,74,Forward
12000,22,25200,68,43,Defense
6500,29,12400,70,73,Defense
8500,27,18500,63,38,Defense
10000,23,19800,79,65,Defense
6500,32,11100,65,77,Midfield
9000,29,18900,69,78,Midfield
5500,31,11600,77,67,Defense
3100,33,5300,67,70,Midfield
7500,31,15800,89,74,Forward
14000,19,36800,83,81,Forward
6500,32,14300,58,72,Midfield
6000,30,11900,34,15,Goalkeeper
6500,31,11100,65,76,Midfield
8000,27,15200,86,79,Midfield
9000,27,19600,86,76,Forward
8000,29,12000,61,65,Forward
6500,28,12800,39,11,Goalkeeper
6000,30,11400,50,39,Defense
9000,24,18500,78,78,Defense
8000,28,15200,68,65,Forward
11000,22,20900,86,80,Forward
3000,34,5600,59,75,Defense
6500,31,12400,45,74,Midfield
6500,28,11100,74,75,Defense
8500,26,18500,69,38,Defense
10500,23,23100,75,84,Midfield
7500,31,14300,65,76,Midfield
7500,27,13300,69,39,Defense
8000,27,13600,75,78,Forward
8000,27,17400,56,71,Midfield
1800,36,3500,69,73,Midfield
7000,32,10500,67,77,Midfield
8000,29,15200,58,66,Forward
6500,27,12400,63,45,Defense
9000,26,16000,76,75,Midfield
3400,35,5200,67,80,Midfield
7500,27,16300,66,64,Midfield
2300,34,4400,69,56,Defense
